Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_36_692.jpg;0;0;1;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_36_748.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_36_814.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_36_882.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_36_948.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_015.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_082.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_149.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_215.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_283.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_350.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_416.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_483.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_551.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_617.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_685.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_750.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_818.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_885.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_37_952.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_38_040.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_38_101.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_38_169.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_38_219.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
C:\Users\Carl\RoboND-Rover-Project\myDataSet\IMG\robocam_2017_08_16_20_11_38_286.jpg;0;0;0;0;99.66999;85.589;0.000235424;43.86751;-5.469226E-07
